Sweep Rate	Voltage Window	Cathodic Specific Capacity	Anodic Specific Capacity	Cathodic Specific Capacitance	Anodic Specific Capacitance	Coulombic Efficiency	#e in Cathodic	#e in Anodic	Rate Capability in Cathodic	Rate Capability in Anodic
mV/s	V	mAh/g	mAh/g	F/g	F/g					
       1.0	       1.1	          106.00330	                 70.40980	            346.91989	            230.43208	             66.42227	               0.66296	             0.44035	                     1.00000	                   0.97730
       2.0	       1.1	           93.57826	                 71.42549	            306.25612	            233.75616	             76.32701	               0.58525	             0.44670	                     0.88279	                   0.99139
       5.0	       1.1	           81.67583	                 72.04557	            267.30272	            235.78551	             88.20917	               0.51081	             0.45058	                     0.77050	                   1.00000
      10.0	       1.1	           77.49491	                 71.23742	            253.61971	            233.14064	             91.92529	               0.48466	             0.44553	                     0.73106	                   0.98878
      20.0	       1.1	           73.32769	                 69.25958	            239.98153	            226.66772	             94.45215	               0.45860	             0.43316	                     0.69175	                   0.96133
      50.0	       1.1	           66.06322	                 64.73655	            216.20689	            211.86507	             97.99182	               0.41317	             0.40487	                     0.62322	                   0.89855
     100.0	       1.1	           60.54899	                 59.90192	            198.16034	            196.04264	             98.93132	               0.37868	             0.37463	                     0.57120	                   0.83144
